recipe_id,ing_id,ing_name,cat,continent
257186,4279,carrot,plant,LAT
257186,4292,celery,plant,LAT
257186,4267,cabbage,plant,LAT
257186,5015,banana,plant,LAT
257186,5199,plantain,plantproduct,LAT
257186,4442,potato,plant,LAT
257186,4311,fresh corn kernel,plant,LAT
257186,4432,green bell pepper,plant,LAT
257246,4432,green bell pepper,plant,LAT
257246,4397,onion,plant,LAT
257246,2882,soy sauce,condiment,LAT
257246,4342,garlic,spice,LAT
257246,16403,dried oregano,spice,LAT
257246,16406,ground black pepper,spice,LAT
257246,6305,vegetable oil,condiment,LAT
257246,16215,shredded Cheddar cheese,dairy,LAT
257246,3686,ketchup,condiment,LAT
257246,6294,mayonnaise,condiment,LAT
257246,4267,cabbage,plant,LAT
257246,4572,tomato,plant,LAT
257246,4397,onion,plant,LAT
257462,16157,butter,dairy,LAT
257462,1684,all-purpose flour,grain,LAT
257462,1526,white sugar,condiment,LAT
257462,2356,baking powder,other,LAT
257462,16317,egg,animal,LAT
257462,16278,milk,dairy,LAT
257462,6420,canola oil,condiment,LAT
257462,16424,vanilla extract,plantproduct,LAT
257462,16386,ground cinnamon,spice,LAT
259058,16157,butter,dairy,LAT
259058,4397,onion,plant,LAT
259058,5199,plantain,plantproduct,LAT
259058,4311,fresh corn kernel,plant,LAT
259058,4405,green onion,spice,LAT
259058,5106,lemon,plant,LAT
259058,3717,fresh cilantro,spice,LAT
259058,4342,garlic,spice,LAT
259058,16404,paprika,spice,LAT
259058,5012,avocado,plant,LAT
257537,6307,olive oil,condiment,LAT
257537,4397,onion,plant,LAT
257537,4342,garlic,spice,LAT
257537,20453,Roma (plum) tomato,plant,LAT
257537,4786,red bell pepper,plant,LAT
257537,16403,dried oregano,spice,LAT
257537,16386,ground cinnamon,spice,LAT
257537,16406,ground black pepper,spice,LAT
257537,16380,bay leaf,spice,LAT
257537,16157,butter,dairy,LAT
257538,4572,tomato,plant,LAT
257538,5140,orange juice,plantproduct,LAT
257538,4397,onion,plant,LAT
257538,7842,white vinegar,condiment,LAT
257538,20476,chipotle peppers in adobo sauce,plantproduct,LAT
257538,4342,garlic,spice,LAT
257538,18794,whole clove,spice,LAT
257538,16403,dried oregano,spice,LAT
257538,4397,onion,plant,LAT
257538,3717,fresh cilantro,spice,LAT
259061,4342,garlic,spice,LAT
259061,16403,dried oregano,spice,LAT
259061,5106,lemon,plant,LAT
259061,4397,onion,plant,LAT
259061,6305,vegetable oil,condiment,LAT
259061,7842,white vinegar,condiment,LAT
259061,16133,chicken broth,animal,LAT
259061,4442,potato,plant,LAT
259061,5199,plantain,plantproduct,LAT
259061,4311,fresh corn kernel,plant,LAT
259061,4292,celery,plant,LAT
259061,4279,carrot,plant,LAT
259061,4432,green bell pepper,plant,LAT
259061,3717,fresh cilantro,spice,LAT
255835,1526,white sugar,condiment,LAT
255835,16318,egg white,animal,LAT
254950,9725,extra-virgin olive oil,condiment,LAT
254950,4397,onion,plant,LAT
254950,4342,garlic,spice,LAT
254950,16407,cayenne pepper,spice,LAT
254962,7842,white vinegar,condiment,LAT
254962,4397,onion,plant,LAT
254962,4342,garlic,spice,LAT
254962,16406,ground black pepper,spice,LAT
254962,16423,fresh thyme,spice,LAT
254962,6305,vegetable oil,condiment,LAT
254962,4442,potato,plant,LAT
254962,4279,carrot,plant,LAT
254965,5107,lemon juice,plantproduct,LAT
254965,4442,potato,plant,LAT
254965,4582,tomato sauce,plantproduct,LAT
254965,4311,fresh corn kernel,plant,LAT
254749,1526,white sugar,condiment,LAT
254749,16317,egg,animal,LAT
254749,6305,vegetable oil,condiment,LAT
254749,4279,carrot,plant,LAT
254749,1684,all-purpose flour,grain,LAT
254749,2356,baking powder,other,LAT
254749,1526,white sugar,condiment,LAT
254749,16278,milk,dairy,LAT
254749,16339,unsalted butter,dairy,LAT
254723,16380,bay leaf,spice,LAT
254723,5375,bacon,animal,LAT
254723,6305,vegetable oil,condiment,LAT
254723,4342,garlic,spice,LAT
254723,5375,bacon,animal,LAT
254723,4397,onion,plant,LAT
254723,4409,fresh parsley,spice,LAT
254352,6305,vegetable oil,condiment,LAT
254352,16317,egg,animal,LAT
254169,9725,extra-virgin olive oil,condiment,LAT
254169,13968,chicken stock,animal,LAT
254169,4397,onion,plant,LAT
247384,16278,milk,dairy,LAT
247384,1526,white sugar,condiment,LAT
247384,16317,egg,animal,LAT
247384,16339,unsalted butter,dairy,LAT
247384,1684,all-purpose flour,grain,LAT
247384,2356,baking powder,other,LAT
246698,2882,soy sauce,condiment,LAT
246698,4409,fresh parsley,spice,LAT
246698,4343,fresh ginger root,spice,LAT
246698,4342,garlic,spice,LAT
246809,5112,lime juice,plantproduct,LAT
246809,4397,onion,plant,LAT
246809,5140,orange juice,plantproduct,LAT
246809,5592,hot sauce,condiment,LAT
242423,5112,lime juice,plantproduct,LAT
242423,20453,Roma (plum) tomato,plant,LAT
242423,20269,red onion,plant,LAT
242423,3717,fresh cilantro,spice,LAT
242423,3723,serrano pepper,plant,LAT
244417,16278,milk,dairy,LAT
244417,16319,egg yolk,animal,LAT
244417,1526,white sugar,condiment,LAT
244417,1636,cornstarch,plantproduct,LAT
244417,1684,all-purpose flour,grain,LAT
244417,20303,cinnamon stick,spice,LAT
244417,5219,raisin,plantproduct,LAT
244417,16424,vanilla extract,plantproduct,LAT
244417,16157,butter,dairy,LAT
244417,16386,ground cinnamon,spice,LAT
246554,4432,green bell pepper,plant,LAT
246554,4786,red bell pepper,plant,LAT
246554,6307,olive oil,condiment,LAT
246554,4397,onion,plant,LAT
246554,4405,green onion,spice,LAT
246554,20453,Roma (plum) tomato,plant,LAT
246554,4342,garlic,spice,LAT
246554,3717,fresh cilantro,spice,LAT
246554,6307,olive oil,condiment,LAT
246137,1526,white sugar,condiment,LAT
246137,16157,butter,dairy,LAT
246137,16317,egg,animal,LAT
246137,16386,ground cinnamon,spice,LAT
238559,4572,tomato,plant,LAT
238559,2351,corn tortilla,grain,LAT
238559,5012,avocado,plant,LAT
238189,16294,sweetened condensed milk,dairy,LAT
238189,16424,vanilla extract,plantproduct,LAT
238189,16386,ground cinnamon,spice,LAT
238378,2779,canned black beans,plantproduct,LAT
